,step,rmse
0,406.0,0.0012608824652625965
1,407.0,0.0015117221820437506
2,408.0,0.001657330876852123
3,409.0,0.001504572567122738
4,410.0,0.001231300601539629
5,411.0,0.0013176485636561207
6,412.0,0.0016845360534385647
7,413.0,0.001765334399244705
8,414.0,0.001541883419818915
9,415.0,0.0012783072366483166
10,416.0,0.0014227720292562486
11,417.0,0.0016894618942831744
12,418.0,0.0016516600999946288
13,419.0,0.0013603331451352057
14,420.0,0.0011638139146091639
15,421.0,0.0013608786148395766
16,422.0,0.0016130495457000891
17,423.0,0.001642502441069197
18,424.0,0.0013377162601060158
19,425.0,0.0012143057218178264
20,426.0,0.0014961371355505287
21,427.0,0.00177880549007275
22,428.0,0.0017004761785986999
23,429.0,0.0014208749757295524
24,430.0,0.0013266418804044082
25,431.0,0.0016053373641138418
26,432.0,0.0017410949124232794
27,433.0,0.0015759721280626468
28,434.0,0.0012468156331546583
29,435.0,0.0012576343782124706
30,436.0,0.001501836488233539
31,437.0,0.001656228271602244
32,438.0,0.001516895398405312
33,439.0,0.0012367868764501615
34,440.0,0.001304103547551465
35,441.0,0.0016716218107232822
36,442.0,0.0017608894938944812
37,443.0,0.0015538912530727663
38,444.0,0.001282507104536544
39,445.0,0.0014141625742896545
40,446.0,0.0016840415965546536
41,447.0,0.001664826735717432
42,448.0,0.001379005565514477
43,449.0,0.0011653555711236977
44,450.0,0.0013498990179790435
45,451.0,0.0016054629422186525
46,452.0,0.0016542170470092256
47,453.0,0.0013484337874953675
48,454.0,0.0012126118284612926
49,455.0,0.0014805184499129612
50,456.0,0.0017754777886519945
51,457.0,0.001714156621531837
52,458.0,0.0014302288177287091
53,459.0,0.001319227778611253
54,460.0,0.0015916671166756639
55,461.0,0.0017342590106590203
56,462.0,0.001581500203345734
57,463.0,0.001255463761125546
58,464.0,0.0012510019668478106
59,465.0,0.001493256426424964
60,466.0,0.0016549232863735533
61,467.0,0.001529765037250198
62,468.0,0.0012421884399085577
63,469.0,0.0012937890503415541
64,470.0,0.0016630609931784753
65,471.0,0.0017610643942478027
66,472.0,0.0015683779147305649
67,473.0,0.0012883032286696429
68,474.0,0.0014030027955145709
69,475.0,0.0016750650181154923
70,476.0,0.0016727306068977253
71,477.0,0.0013934780177103899
72,478.0,0.001165510626800711
73,479.0,0.0013385806775637063
74,480.0,0.0015977886060497494
75,481.0,0.001664503934568521
76,482.0,0.0013591325793577032
77,483.0,0.0012111192598797268
78,484.0,0.0014670459628374675
79,485.0,0.0017758527571332386
80,486.0,0.0017304004544810884
81,487.0,0.0014407895166642479
82,488.0,0.0013159487435645024
83,489.0,0.0015768288993594152
84,490.0,0.0017264822975507816
85,491.0,0.001584515816958894
86,492.0,0.0012627877995347717
87,493.0,0.001242362717560809
88,494.0,0.001486585647130969
89,495.0,0.0016546701076089849
90,496.0,0.001542085566262932
91,497.0,0.001248537209081004
92,498.0,0.0012861362824796504
93,499.0,0.0016585623082054496
94,500.0,0.0017658751839514657
95,501.0,0.0015878979508786315
96,502.0,0.0012970848263468033
97,503.0,0.0013885104131565276
98,504.0,0.0016628984797818155
99,505.0,0.0016750125167912214
100,506.0,0.0014034005536822608
101,507.0,0.0011639225218579947
102,508.0,0.0013266378504678581
103,509.0,0.0015901086353541964
104,510.0,0.0016737420019551522
105,511.0,0.0013701874093670968
106,512.0,0.0012094733258109635
107,513.0,0.001456111806613439
108,514.0,0.0017808934413242683
109,515.0,0.0017505106248662612
110,516.0,0.0014537671033404073
111,517.0,0.0013185738575992333
112,518.0,0.001561134275160283
113,519.0,0.0017190790108604363
114,520.0,0.0015859633365517183
115,521.0,0.0012687965569091683
116,522.0,0.0012318157949875398
117,523.0,0.0014818032150176524
118,524.0,0.0016558607122624442
119,525.0,0.0015542059379222049
120,526.0,0.001256558105845424
121,527.0,0.0012815929412229887
122,528.0,0.0016582287660589687
123,529.0,0.0017751929168165705
124,530.0,0.0016127788053991398
125,531.0,0.0013103597471829174
126,532.0,0.0013723203764220934
127,533.0,0.0016491357579430483
128,534.0,0.0016734181524695273
129,535.0,0.0014103711287307469
130,536.0,0.0011618819445832701
131,537.0,0.001314353240533441
132,538.0,0.001582321493936122
133,539.0,0.0016822207965742004
134,540.0,0.0013817282802481515
135,541.0,0.0012081984068749764
136,542.0,0.0014482095282531172
137,543.0,0.0017908469849681578
138,544.0,0.0017748255461381601
139,545.0,0.001469369701122853
140,546.0,0.0013279988132283143
141,547.0,0.0015454870407765346
142,548.0,0.001713363785310673
143,549.0,0.001587570409496391
144,550.0,0.0012746762095334101
145,551.0,0.0012210142484282603
146,552.0,0.0014791254590505389
147,553.0,0.0016590307895438337
148,554.0,0.001567044949429511
149,555.0,0.0012671264015918268
150,556.0,0.0012804961908553093
151,557.0,0.001661489856166272
152,558.0,0.0017883057821569816
153,559.0,0.001642967550171728
154,560.0,0.0013296637879429882
155,561.0,0.001357253460671924
156,562.0,0.0016357875021274758
157,563.0,0.0016701859154921108
158,564.0,0.0014159938873591986
159,565.0,0.0011607172911128414
160,566.0,0.0013027717852063794
161,567.0,0.0015753097499180016
162,568.0,0.001690998089644439
163,569.0,0.0013946512832041901
164,570.0,0.0012084625934832378
165,571.0,0.0014441417610248192
166,572.0,0.0018060206517891391
167,573.0,0.0018036519036900684
168,574.0,0.001488210803343433
169,575.0,0.0013445257621521754
170,576.0,0.0015315187172181429
171,577.0,0.001711029943119713
172,578.0,0.0015912998452376468
173,579.0,0.0012815136593297023
174,580.0,0.0012107005668184885
175,581.0,0.0014783766934581852
176,582.0,0.0016643392922743676
177,583.0,0.0015813621808109736
178,584.0,0.0012812999430601656
179,585.0,0.0012835986972032048
180,586.0,0.0016685123919798661
181,587.0,0.0018054697190976608
182,588.0,0.0016790807317561096
183,589.0,0.0013566678992914117
184,590.0,0.001346344410438302
185,591.0,0.001624619754088571
186,592.0,0.001667267326855945
187,593.0,0.0014219034271972506
188,594.0,0.0011617227907472186
189,595.0,0.0012930466974937626
190,596.0,0.0015698150466776548
191,597.0,0.0017007834562929132
192,598.0,0.0014096666352332258
193,599.0,0.00121150726342379
194,600.0,0.0014448380245525654
